Jobid	Jobname	Time1	Startime	Lock	energy	node1	nodo2	nodo3	nodo4	nodo5	nodo6	nodo7	nodo8	nodo9	nodo10	nodo11	nodo12	nodo13	nodo14	nodo15	nodo16
889453	IMeCOFT8_nf0_cp400_tnp560_ms31680_single_lby_r1_W8_20231128_101617	2023-11-29 01:36:53	1701218204	D	0.16515	cresco6x106	cresco6x108	cresco6x296	cresco6x132	cresco6x328	cresco6x195	cresco6x225	cresco6x073	cresco6x093	cresco6x025	cresco6x145	cresco6x211				
889454	SPKFT8_nf0_cp400_tnp408_ms31680_single_lby_r1_W8_20231128_101617	2023-11-29 01:40:04	1701218394	D	0.01536	cresco6x295	cresco6x122	cresco6x139	cresco6x144	cresco6x146	cresco6x337	cresco6x186	cresco6x340	cresco6x074							
889455	IMeCOFT8_nf8_cp400_tnp560_ms31680_single_lby_r1_W8_20231128_101617	2023-11-29 01:40:58	1701218448	D	0.16724	cresco6x105	cresco6x316	cresco6x167	cresco6x060	cresco6x061	cresco6x078	cresco6x081	cresco6x090	cresco6x097	cresco6x189	cresco6x119	cresco6x111				
889456	SPKFT8_nf8_cp400_tnp408_ms31680_single_lby_r1_W8_20231128_101618	2023-11-29 01:44:13	1701218644	D	0.01544	cresco6x277	cresco6x108	cresco6x120	cresco6x122	cresco6x131	cresco6x132	cresco6x186	cresco6x195	cresco6x073							
889457	IMeCOFT0_cp400_tnp400_ms31680_double_lby_r1_W8_20231128_101618	2023-11-29 01:45:08	1701218699	D	0.23456	cresco6x307	cresco6x074	cresco6x093	cresco6x267	cresco6x025	cresco6x145	cresco6x211	cresco6x213	cresco6x106							
889458	SPKFT0_cp400_tnp400_ms31680_double_lby_r1_W8_20231128_101618	2023-11-29 01:51:10	1701219059	D	0.02787	cresco6x186	cresco6x033	cresco6x214	cresco6x060	cresco6x203	cresco6x097	cresco6x153	cresco6x119	cresco6x140							
889459	IMeCOFT1_nf0_cp400_tnp420_ms31680_double_lby_r1_W8_20231128_101618	2023-11-29 01:52:19	1701219129	D	0.25276	cresco6x108	cresco6x295	cresco6x132	cresco6x144	cresco6x306	cresco6x192	cresco6x196	cresco6x285	cresco6x189							
889460	SPKFT1_nf0_cp400_tnp401_ms31680_double_lby_r1_W8_20231128_101618	2023-11-29 01:58:29	1701219499	D	0.02665	cresco6x279	cresco6x107	cresco6x122	cresco6x131	cresco6x139	cresco6x184	cresco6x186	cresco6x053	cresco6x211							
889461	IMeCOFT1_nf1_cp400_tnp420_ms31680_double_lby_r1_W8_20231128_101618	2023-11-29 01:59:33	1701219564	D	0.24792	cresco6x125	cresco6x033	cresco6x214	cresco6x061	cresco6x081	cresco6x246	cresco6x090	cresco6x048	cresco6x111							
889462	SPKFT1_nf1_cp400_tnp401_ms31680_double_lby_r1_W8_20231128_101618	2023-11-29 02:05:44	1701219934	D	0.02728	cresco6x105	cresco6x107	cresco6x108	cresco6x296	cresco6x122	cresco6x144	cresco6x306	cresco6x328	cresco6x186							
889463	IMeCOFT2_nf0_cp400_tnp440_ms31680_double_lby_r1_W8_20231128_101618	2023-11-29 02:06:48	1701219999	D	0.24998	cresco6x131	cresco6x162	cresco6x187	cresco6x340	cresco6x192	cresco6x206	cresco6x053	cresco6x060	cresco6x225	cresco6x074						
889464	SPKFT2_nf0_cp400_tnp402_ms31680_double_lby_r1_W8_20231128_101619	2023-11-29 02:13:09	1701220380	D	0.02676	cresco6x106	cresco6x107	cresco6x108	cresco6x296	cresco6x125	cresco6x132	cresco6x144	cresco6x167	cresco6x184							
889465	IMeCOFT2_nf2_cp400_tnp440_ms31680_double_lby_r1_W8_20231128_101619	2023-11-29 02:14:04	1701220434	D	0.24267	cresco6x105	cresco6x115	cresco6x295	cresco6x145	cresco6x196	cresco6x210	cresco6x211	cresco6x061	cresco6x222	cresco6x073						
889466	SPKFT2_nf2_cp400_tnp402_ms31680_double_lby_r1_W8_20231128_101619	2023-11-29 02:19:36	1701220767	D	0.02584	cresco6x107	cresco6x108	cresco6x119	cresco6x186	cresco6x340	cresco6x203	cresco6x214	cresco6x060	cresco6x081							
889467	IMeCOFT4_nf0_cp400_tnp480_ms31680_double_lby_r1_W8_20231128_101619	2023-11-29 02:20:41	1701220832	D	0.35867	cresco6x122	cresco6x162	cresco6x087	cresco6x091	cresco6x248	cresco6x093	cresco6x267	cresco6x067	cresco6x213	cresco6x048						
889468	SPKFT4_nf0_cp400_tnp404_ms31680_double_lby_r1_W8_20231128_101619	2023-11-29 02:28:28	1701221299	D	0.02630	cresco6x107	cresco6x108	cresco6x285	cresco6x289	cresco6x132	cresco6x316	cresco6x319	cresco6x328	cresco6x337							
889469	IMeCOFT4_nf4_cp400_tnp480_ms31680_double_lby_r1_W8_20231128_101619	2023-11-29 02:29:33	1701221363	D	0.28142	cresco6x277	cresco6x296	cresco6x120	cresco6x340	cresco6x192	cresco6x053	cresco6x214	cresco6x060	cresco6x061	cresco6x065						
889470	SPKFT4_nf4_cp400_tnp404_ms31680_double_lby_r1_W8_20231128_101619	2023-11-29 02:35:39	1701221730	D	0.02519	cresco6x108	cresco6x289	cresco6x122	cresco6x125	cresco6x132	cresco6x138	cresco6x146	cresco6x306	cresco6x162							
889471	IMeCOFT8_nf0_cp400_tnp560_ms31680_double_lby_r1_W8_20231128_101620	2023-11-29 02:36:39	1701221790	D	0.39692	cresco6x145	cresco6x337	cresco6x184	cresco6x048	cresco6x210	cresco6x078	cresco6x090	cresco6x091	cresco6x097	cresco6x206	cresco6x153	cresco6x257				
889472	SPKFT8_nf0_cp400_tnp408_ms31680_double_lby_r1_W8_20231128_101620	2023-11-29 02:44:00	1701222230	D	0.02718	cresco6x295	cresco6x296	cresco6x125	cresco6x132	cresco6x138	cresco6x139	cresco6x146	cresco6x316	cresco6x033							
889473	IMeCOFT8_nf8_cp400_tnp560_ms31680_double_lby_r1_W8_20231128_101620	2023-11-29 02:45:05	1701222296	D	0.33963	cresco6x306	cresco6x167	cresco6x065	cresco6x074	cresco6x088	cresco6x267	cresco6x211	cresco6x131	cresco6x144	cresco6x060	cresco6x093	cresco6x279				
889474	SPKFT8_nf8_cp400_tnp408_ms31680_double_lby_r1_W8_20231128_101620	2023-11-29 02:51:21	1701222672	D	0.02673	cresco6x277	cresco6x285	cresco6x119	cresco6x295	cresco6x132	cresco6x139	cresco6x146	cresco6x319	cresco6x337							
889475	IMeCOFT0_cp484_tnp484_ms31680_single_lbn_r1_W8_20231128_101620	2023-11-29 02:52:27	1701222737	D	0.13852	cresco6x296	cresco6x138	cresco6x328	cresco6x340	cresco6x192	cresco6x048	cresco6x203	cresco6x061	cresco6x087	cresco6x090	cresco6x097					
889476	SPKFT0_cp484_tnp484_ms31680_single_lbn_r1_W8_20231128_101620	2023-11-29 02:56:11	1701222961	D	0.01894	cresco6x277	cresco6x285	cresco6x295	cresco6x122	cresco6x133	cresco6x144	cresco6x319	cresco6x167	cresco6x211	cresco6x073	cresco6x078					
889477	IMeCOFT1_nf0_cp484_tnp506_ms31680_single_lbn_r1_W8_20231128_101620	2023-11-29 02:57:02	1701223012	D	0.15325	cresco6x132	cresco6x186	cresco6x224	cresco6x248	cresco6x093	cresco6x269	cresco6x145	cresco6x131	cresco6x067	cresco6x163	cresco6x279					
