jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
901232	cresco6x138	Wed  6 Dec 16:00:45 CET 2023	1701874845	130.00	90.00	9.00	0.00	0.00	0.00	0.00	18.00	37.00	34.00	27.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.78996		0.00007
901232	cresco6x146	Wed  6 Dec 16:00:44 CET 2023	1701874844	130.00	100.00	10.00	0.00	0.00	0.00	0.00	18.00	37.00	35.00	35.00	13.00	6912.00000	7040.00000	9472.00000	9856.00000	9344.00000	0.00000	9344.00000	9984.00000	6912.00000	7040.00000	71.77800		0.00004
901232	cresco6x138	Wed  6 Dec 16:00:44 CET 2023	1701874844	110.00	80.00	9.00	0.00	0.00	0.00	0.00	18.00	37.00	34.00	27.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.78989		0.00003
901232	cresco6x146	Wed  6 Dec 16:00:43 CET 2023	1701874843	130.00	100.00	10.00	0.00	0.00	0.00	0.00	18.00	37.00	35.00	35.00	13.00	6912.00000	7040.00000	9472.00000	9856.00000	9344.00000	0.00000	9344.00000	9984.00000	6912.00000	7040.00000	71.77796		0.00000
901232	cresco6x138	Wed  6 Dec 16:00:43 CET 2023	1701874843	130.00	90.00	9.00	0.00	0.00	0.00	0.00	18.00	37.00	34.00	27.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.78986		0.00000
901233	cresco6x138	Wed  6 Dec 16:01:27 CET 2023	1701874887	130.00	90.00	9.00	43.00	0.00	0.00	0.00	18.00	37.00	35.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79151		0.00004
901233	cresco6x146	Wed  6 Dec 16:01:27 CET 2023	1701874887	130.00	100.00	10.00	38.00	0.00	0.00	0.00	18.00	37.00	36.00	32.00	12.00	6912.00000	6912.00000	9344.00000	9856.00000	9216.00000	0.00000	9344.00000	9856.00000	6912.00000	6912.00000	71.77966		0.00008
901233	cresco6x138	Wed  6 Dec 16:01:26 CET 2023	1701874886	130.00	90.00	9.00	43.00	0.00	0.00	0.00	18.00	36.00	35.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79147		0.00007
901233	cresco6x138	Wed  6 Dec 16:01:24 CET 2023	1701874884	130.00	90.00	9.00	43.00	0.00	0.00	0.00	18.00	36.00	34.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79140		0.00004
901233	cresco6x146	Wed  6 Dec 16:01:25 CET 2023	1701874885	130.00	100.00	10.00	38.00	0.00	0.00	0.00	18.00	36.00	36.00	32.00	12.00	6912.00000	6912.00000	9344.00000	9856.00000	9216.00000	0.00000	9344.00000	9856.00000	6912.00000	6912.00000	71.77958		0.00003
901233	cresco6x146	Wed  6 Dec 16:01:24 CET 2023	1701874884	130.00	100.00	10.00	38.00	0.00	0.00	0.00	18.00	36.00	36.00	32.00	12.00	6912.00000	6912.00000	9344.00000	9856.00000	9216.00000	0.00000	9344.00000	9856.00000	6912.00000	6912.00000	71.77955		0.00004
901233	cresco6x138	Wed  6 Dec 16:01:23 CET 2023	1701874883	130.00	90.00	9.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	25.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	204.79136		0.00004
901233	cresco6x146	Wed  6 Dec 16:01:21 CET 2023	1701874881	130.00	100.00	10.00	1.00	0.00	0.00	0.00	18.00	36.00	34.00	32.00	12.00	6912.00000	6912.00000	9344.00000	9856.00000	9216.00000	0.00000	9344.00000	9856.00000	6912.00000	6912.00000	71.77944		0.00004
