jobid,energy_from_delta_e,energy_from_subtraction,mean_sys_power,max_sys_power,energy_equal,error_code,runtime,matrix_size,precision,balanced,rank_assignment,number_of_nodes,total_proc,algorithm,mean_sys_power_from_delta_e
880056,0.081410,0.081410,1053.429603,1190,True,0.000000,270.000000,21120.000000,double,n,f,4.000000,156.000000,IMeCO,1085.466667
880057,0.007550,0.007550,832.121212,1180,True,-99.000000,26.000000,21120.000000,double,n,f,4.000000,145.000000,SPK,1045.384615
880058,0.083910,0.083910,1083.007246,1230,True,0.000000,271.000000,21120.000000,double,n,f,4.000000,168.000000,IMeCO,1114.671587
880059,0.008220,0.008220,807.567568,1190,True,0.000000,30.000000,21120.000000,double,n,f,4.000000,146.000000,SPK,986.400000
880060,0.081930,0.081930,1079.779412,1220,True,0.000000,265.000000,21120.000000,double,n,f,4.000000,168.000000,IMeCO,1113.011321
880061,0.008450,0.008450,819.189189,1180,True,-99.000000,31.000000,21120.000000,double,n,f,4.000000,146.000000,SPK,981.290323
880062,0.089000,0.089000,1174.705882,1340,True,0.000000,266.000000,21120.000000,double,n,f,4.000000,192.000000,IMeCO,1204.511278
880063,0.009250,0.009250,845.000000,1200,True,0.000000,33.000000,21120.000000,double,n,f,4.000000,148.000000,SPK,1009.090909
880064,0.090340,0.090340,1180.434783,1340,True,0.000000,269.000000,21120.000000,double,n,f,4.000000,192.000000,IMeCO,1209.011152
880065,0.009320,0.009320,843.170732,1180,True,-99.000000,34.000000,21120.000000,double,n,f,4.000000,148.000000,SPK,986.823529
880066,0.111890,0.111890,1463.018182,1670,True,0.000000,268.000000,21120.000000,double,n,f,5.000000,240.000000,IMeCO,1503.000000
880067,0.009700,0.009700,895.000000,1210,True,0.000000,34.000000,21120.000000,double,n,f,4.000000,152.000000,SPK,1027.058824
880068,0.139480,0.139480,1440.316092,1630,True,0.000000,341.000000,21120.000000,double,n,f,5.000000,240.000000,IMeCO,1472.516129
880069,0.008260,0.008260,846.666667,1190,True,-99.000000,30.000000,21120.000000,double,n,f,4.000000,152.000000,SPK,991.200000
880070,0.069160,0.069160,921.070111,1100,True,0.000000,265.000000,26400.000000,single,n,f,3.000000,144.000000,IMeCO,939.532075
880071,0.006970,0.006970,734.571429,1030,True,0.000000,29.000000,26400.000000,single,n,f,3.000000,144.000000,SPK,865.241379
